Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
65	0.31304348	0.46373188	1.0	0.0	8.686956	0.27636546	0.00052855	0.27655596	0.2748924	66000	-0.001053086	0.18748593	1.8953695e-05	-7.301569e-07	0.7353683	0.058622595	0.0	0.0	77.0480477809906
66	0.25438598	0.43551555	1.0	0.0	8.745614	0.27540544	0.00052840466	0.27559587	0.2739332	67000	0.04684851	0.16563189	-0.0038481168	-0.0028069317	0.6361999	0.032905653	0.0	27.0	78.13626313209534
67	0.28070176	0.44934204	1.0	0.0	8.719298	0.2216427	0.00050323637	0.22182406	0.2202406	68000	-0.023536928	0.174439	0.00021925941	-0.00058569014	0.7219094	0.03976281	0.0	0.0	79.11566615104675
68	0.33913043	0.4734142	1.0	0.0	8.66087	0.24617296	0.0005078485	0.24635689	0.24476528	69000	-0.05207813	0.19880094	-0.005882211	-0.0027967095	0.65642595	-0.14255728	0.0	79.0	80.25976991653442
69	0.20353982	0.40263054	1.0	0.0	8.79646	0.29958588	0.0005049794	0.29976702	0.29817238	70000	0.12804258	0.15212323	-0.030119099	-0.014913127	0.5494121	0.06501883	0.0	10.0	81.28071570396423
70	0.28070176	0.44934204	1.0	0.0	8.719298	0.17717814	0.00040810098	0.17732528	0.17604116	71000	-0.06702264	0.17856568	-0.005649261	-0.0046852827	0.6441216	-0.13196515	0.482	79.0	83.12829804420471
71	0.28947368	0.45351815	1.0	0.0	8.710526	0.24558088	0.00040178248	0.24572575	0.24446276	72000	-0.005590294	0.17734464	-0.008796783	-6.891787e-05	0.5606349	0.028329913	0.0	14.0	84.14691615104675
72	0.35652173	0.4789718	1.0	0.0	8.643478	0.25395745	0.0004037314	0.25410372	0.25283748	73000	-0.057935797	0.2047702	-0.009182274	-0.0037144274	0.67636335	-0.16384323	0.0	79.0	85.33164072036743
73	0.2982456	0.45748788	1.0	0.0	8.701755	0.31544873	0.00040137197	0.31559345	0.31432965	74000	0.044396263	0.18341003	-0.00021572784	-0.0028235167	0.8892822	0.20118028	0.57	0.0	86.37164855003357
74	0.18584071	0.38897803	1.0	0.0	8.814159	0.2620033	0.00038057344	0.2621398	0.26093712	75000	0.10982669	0.13786978	-0.029885985	-0.010100052	0.5320707	0.06257506	0.0	11.0	87.38341546058655
75	0.24561404	0.43045068	1.0	0.0	8.754386	0.16239265	0.00032130335	0.16250843	0.16149755	76000	-0.046564642	0.1615983	0.0010942891	-0.0027000755	0.7383914	0.069637865	0.0	0.0	88.47011518478394
76	0.27192983	0.44495392	1.0	0.0	8.72807	0.21391019	0.00031971105	0.21402541	0.2130194	77000	-0.023617685	0.17088135	0.0004879404	-0.0005811155	0.7621721	0.095419474	0.0	0.0	89.54699969291687
77	0.21238938	0.40899897	1.0	0.0	8.787611	0.23795393	0.00031911203	0.23806843	0.23706113	78000	0.048313837	0.14446305	-0.00518997	-0.0027994365	0.6106652	0.034003083	0.0	20.0	90.61981987953186
78	0.33913043	0.47341418	1.0	0.0	8.66087	0.18519117	0.0003154565	0.18530545	0.18431613	79000	-0.10755261	0.20897375	-0.013790071	-0.012925863	0.66292936	-0.1538756	0.481	79.0	91.8197250366211
